;;;;Temp;Hi;Low;Out;Dew;Wind;Wind;Wind;Hi;Hi;Wind;Heat;THW;THSW;;;Rain;Solar;Solar;Hi Solar;UV ;UV ;Hi ;Heat;Cool;In ;In;In ;In ;;Wind;Wind;ISS ;Arc,
Mes;dia;Date;Time;Out;Temp;Temp;Hum;Pt,;Speed;Dir;Run;Speed;Dir;Chill;Index;Index;Index;Bar  ;Rain;Rate;Rad,;Energy;Rad, ;Index;Dose;UV ;D-D ;D-D ;Temp;Hum;Dew;Heat;ET ;Samp;Tx ;Recept;Int,
Enero;2;2/01/2014;3:30:00;22,4;22,6;22,4;43;9,2;0;---;0;0;---;22,4;21,7;21,7;19,9;1007,6;0;0;0;0;0;0;0;0;0;0,086;28,8;66;21,8;31,8;0;561;1;82;30
Enero;2;2/01/2014;4:00:00;22,2;22,4;22,2;43;9;0;---;0;0;---;22,2;21,3;21,3;19,6;1007,8;0;0;0;0;0;0;0;0;0;0,081;28,7;67;22;31,8;0,002;573;1;83,8;30
Enero;2;2/01/2014;4:30:00;22,1;22,3;22,1;43;8,9;0;---;0;0;---;22,1;21,2;21,2;19,4;1007,8;0;0;0;0;0;0;0;0;0;0,079;28,5;67;21,8;31,2;0;559;1;81,7;30
Enero;2;2/01/2014;5:00:00;21,9;22,1;21,9;43;8,7;0;---;0;0;---;21,9;20,8;20,8;19,1;1007,9;0;0;0;0;0;0;0;0;0;0,074;28,4;67;21,7;30,9;0,002;562;1;82,2;30
Enero;2;2/01/2014;5:30:00;21,6;21,9;21,6;43;8,5;0;---;0;0,4;W;21,6;20,4;20,4;18,7;1008,2;0;0;0;0;0;0;0;0;0;0,068;28,2;67;21,5;30,5;0;539;1;78,8;30
Enero;2;2/01/2014;6:00:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1008,5;0;0;---;---;---;---;---;---;---;---;28,3;66;21,3;30,6;0;0;1;0;30
Enero;2;2/01/2014;6:30:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1008,7;0;0;---;---;---;---;---;---;---;---;28,2;66;21,2;30,4;0;0;1;0;30
Enero;2;2/01/2014;7:00:00;22;22;21,7;43;8,8;0;---;0;0;---;22;21;21;19,7;1009,4;0;0;40;1,72;53;0;0;0;0;0,076;27,8;67;21,1;29,9;0,001;238;1;34,8;30
Enero;2;2/01/2014;7:30:00;23,2;23,2;22;42;9,6;0;---;0;0;---;23,2;22,7;22,7;21,7;1009,8;0;0;57;2,45;74;0;0;0;0;0,102;27,8;67;21,1;29,8;0;519;1;75,9;30
