;;;;Temp;Hi;Low;Out;Dew;Wind;Wind;Wind;Hi;Hi;Wind;Heat;THW;THSW;;;Rain;Solar;Solar;Hi Solar;UV ;UV ;Hi ;Heat;Cool;In ;In;In ;In ;In ;In Air;;Wind;Wind;ISS ;Arc,
Mes;Dia;Date;Time;Out;Temp;Temp;Hum;Pt,;Speed;Dir;Run;Speed;Dir;Chill;Index;Index;Index;Bar  ;Rain;Rate;Rad,;Energy;Rad, ;Index;Dose;UV ;D-D ;D-D ;Temp;Hum;Dew;Heat;EMC;Density;ET ;Samp;Tx ;Recept;Int,
Enero;1;1/01/2015;12:30:00 a, m,;23,6;24;23,6;0;---;0;---;0;0;---;23,6;21;21;---;1010;0;0;0;0;0;0;0;0;0;0,11;28,3;69;22;31,1;12,43;11.373;0;697;1;100;30
Enero;1;1/01/2015;01:00:00 a, m,;23,4;23,7;23,4;0;---;0;---;0;0;---;23,4;20,7;20,7;---;1009,6;0;0;0;0;0;0;0;0;0;0,105;28,1;69;21,8;30,6;12,45;11.380;0,004;694;1;100;30
Enero;1;1/01/2015;01:30:00 a, m,;23,1;23,4;23;0;---;0;---;0;0;---;23,1;20,3;20,3;---;1009,2;0;0;0;0;0;0;0;0;0;0,098;27,8;69;21,6;30,2;12,47;11.389;0;685;1;100;30
Enero;1;1/01/2015;02:00:00 a, m,;22,8;23,1;22,7;0;---;0;---;0;0;---;22,8;20;20;---;1008,7;0;0;0;0;0;0;0;0;0;0,093;27,8;69;21,6;30,1;12,47;11.385;0,004;696;1;100;30
Enero;1;1/01/2015;02:30:00 a, m,;22,6;22,8;22,6;0;---;0;---;0;0;---;22,6;19,8;19,8;---;1008,3;0;0;0;0;0;0;0;0;0;0,089;27,6;70;21,6;29,7;12,75;11.389;0;695;1;100;30
Enero;1;1/01/2015;03:00:00 a, m,;22,2;22,6;22,2;0;---;0;---;0;0;---;22,2;19,3;19,3;---;1008,3;0;0;0;0;0;0;0;0;0;0,081;27,4;70;21,5;29,6;12,77;11.395;0,004;699;1;100;30
Enero;1;1/01/2015;03:30:00 a, m,;21,9;22,2;21,9;0;---;0;---;0;0;---;21,9;18,9;18,9;---;1008,5;0;0;0;0;0;0;0;0;0;0,075;27,2;70;21,3;29,1;12,79;11.409;0;703;1;100;30
Enero;1;1/01/2015;04:00:00 a, m,;21,7;21,9;21,7;0;---;0;---;0;0;---;21,7;18,6;18,6;---;1008,6;0;0;0;0;0;0;0;0;0;0,069;27,1;70;21,2;28,9;12,8;11.417;0,004;699;1;100;30
Enero;1;1/01/2015;04:30:00 a, m,;21,4;21,7;21,4;0;---;0;---;0;0;---;21,4;18,2;18,2;---;1008,7;0;0;0;0;0;0;0;0;0;0,065;26,9;71;21,2;28,7;13,03;11.423;0;701;1;100;30
Enero;1;1/01/2015;05:00:00 a, m,;21,3;21,4;21,3;0;---;0;---;0;0;---;21,3;18;18;---;1008,8;0;0;0;0;0;0;0;0;0;0,061;26,8;71;21,1;28,6;13,04;11.430;0,004;702;1;100;30
Enero;1;1/01/2015;05:30:00 a, m,;21,6;21,6;21,2;0;---;0;---;0;0;---;21,6;18,4;18,4;---;1009;0;0;0;0;0;0;0;0;0;0,067;26,6;71;20,9;28,2;13,05;11.446;0;699;1;100;30
Enero;1;1/01/2015;06:00:00 a, m,;21,4;21,6;21,4;0;---;0;---;0;0;---;21,4;18,2;18,2;---;1009,4;0;0;0;0;0;0;0;0;0;0,065;26,5;71;20,8;28;13,06;11.456;0,004;697;1;100;30
