Mes;Dia;Fecha;Hora;Temp externa (°C);Max temp (°C);Min Temp (°C);HR% Ext;Punto Rocio;Velocidad Viento;Direccion Viento;Wind Run;Hi Speed;Hi Dir;Wind Chill;Heat Index;THW Index;THSW Index;Presion Bar (milibar);lluvia (mm);Dias lluvia;tasa lluvia;Radiacion Solar (W/m2);Energía Solar (langleys);Hi Solar Rad;UV Index;UV Dose;Hi UV;Heat D-D;Cool D-D;Temp  interior;HR% int;Punto Rocio int;Heat index int;EMC;In Air Density;ET (mm/unid tiempo);Wind Samp;Wind TX;ISS Recept;Arc Int
Enero;1;1/01/2016;12:30:00 a, m,;25,6;25,9;25,6;0;;0;;0;0;---;25,6;23,1;23,1;---;1006,1;0;0;0;0;0;0;0;0;0;0;0,15;30,1;62;22;33,6;11,03;11.263;0;696;1;100;30
Enero;1;1/01/2016;01:00:00 a, m,;25;25,6;25;0;;0;;0;0;---;25;22,6;22,6;---;1005,9;0;0;0;0;0;0;0;0;0;0;0,139;29,8;62;21,8;33,1;11,04;11.272;0,1016;702;1;100;30
Enero;1;1/01/2016;01:30:00 a, m,;24,4;25;24,4;0;;0;;0;0;---;24,4;21,9;21,9;---;1005,5;0;0;0;0;0;0;0;0;0;0;0,127;29,7;63;21,9;33,1;11,24;11.269;0;698;1;100;30
Enero;1;1/01/2016;02:00:00 a, m,;24,1;24,4;24,1;0;;0;;0;0;---;24,1;21,5;21,5;---;1005,6;0;0;0;0;0;0;0;0;0;0;0,119;29,5;63;21,7;32,6;11,25;11.282;0,1016;702;1;100;30
Enero;1;1/01/2016;02:30:00 a, m,;23,7;24,1;23,7;0;;0;;0;0;---;23,7;21,1;21,1;---;1005,4;0;0;0;0;0;0;0;0;0;0;0,111;29,4;63;21,6;32,3;11,25;11.286;0;698;1;100;30
Enero;1;1/01/2016;03:00:00 a, m,;23,3;23,7;23,2;0;;0;;0;0;---;23,3;20,6;20,6;---;1005,1;0;0;0;0;0;0;0;0;0;0;0,103;29,2;64;21,7;32,1;11,46;11.290;0,1016;702;1;100;30
Enero;1;1/01/2016;03:30:00 a, m,;23,2;23,4;23,2;0;;0;;0;0;---;23,2;20,4;20,4;---;1004,9;0;0;0;0;0;0;0;0;0;0;0,101;28,9;64;21,4;31,7;11,47;11.300;0;697;1;100;30
Enero;1;1/01/2016;04:00:00 a, m,;22,9;23,2;22,9;0;;0;;0;0;---;22,9;20,2;20,2;---;1005,2;0;0;0;0;0;0;0;0;0;0;0,096;28,8;64;21,3;31,5;11,47;11.309;0,1016;699;1;100;30
Enero;1;1/01/2016;04:30:00 a, m,;22,6;22,9;22,6;0;;0;;0;0;---;22,6;19,7;19,7;---;1005,6;0;0;0;0;0;0;0;0;0;0;0,088;28,7;65;21,5;31,4;11,68;11.316;0;699;1;100;30
Enero;1;1/01/2016;05:00:00 a, m,;22,4;22,6;22,4;0;;0;;0;0;---;22,4;19,6;19,6;---;1006;0;0;0;0;0;0;0;0;0;0;0,086;28,5;65;21,3;30,9;11,68;11.332;0,1016;699;1;100;30
Enero;1;1/01/2016;05:30:00 a, m,;22,6;22,6;22,4;0;;0;;0;0;---;22,6;19,8;19,8;---;1006,4;0;0;0;0;0;0;0;0;0;0;0,089;28,4;65;21,2;30,6;11,69;11.343;0;698;1;100;30
Enero;1;1/01/2016;06:00:00 a, m,;22,6;22,7;22,6;0;;0;;0;0;---;22,6;19,7;19,7;---;1006,8;0;0;0;0;0;0;0;0;0;0;0,088;28,3;65;21,1;30,4;11,69;11.354;0,1016;700;1;100;30
Enero;1;1/01/2016;06:30:00 a, m,;22,7;22,7;22,6;0;;0;;0;0;---;22,7;19,8;19,8;---;1007,4;0;0;0;1;0,04;7;0;0;0;0;0,09;28,2;65;21;30,2;11,7;11.367;0;699;1;100;30
Enero;1;1/01/2016;07:00:00 a, m,;22,9;22,9;22,7;0;;0;;0;0;---;22,9;20,1;20,1;---;1007,5;0;0;0;21;0,9;35;0;0;0;0;0,095;28,1;66;21,1;30,2;11,9;11.370;0,0254;697;1;100;30
Enero;1;1/01/2016;07:30:00 a, m,;23,8;23,8;22,9;0;;0;;0;0;---;23,8;21,2;21,2;---;1008,1;0;0;0;56;2,41;114;0;0;0;0;0,113;27,9;66;21;30;11,9;11.382;0;699;1;100;30
Enero;1;1/01/2016;08:00:00 a, m,;25,3;25,3;23,8;0;;0;;0;0;---;25,3;22,8;22,8;---;1008,3;0;0;0;89;3,83;120;0;0;0;0;0,145;28,1;66;21,1;30,2;11,9;11.379;0,0762;701;1;100;30
Enero;1;1/01/2016;08:30:00 a, m,;28,2;28,2;25,3;13;-2,9;0;;0;0;---;28,2;26,1;26,1;27,6;1009;0;0;0;143;6,15;281;0;0;0;0;0,205;28,2;66;21,2;30,4;11,9;11.381;0;698;1;100;30
Enero;1;1/01/2016;09:00:00 a, m,;29,3;29,3;28,2;58;20,2;0;;0;0;---;29,3;31,3;31,3;35,4;1009,1;0;0;0;293;12,6;424;0;0;0,5;0;0,228;28,5;66;21,5;31,1;11,88;11.363;0,1524;700;1;100;30
Enero;1;1/01/2016;09:30:00 a, m,;30,2;30,2;29,3;64;22,6;0;;0;0;---;30,2;34,3;34,3;39,9;1009,3;0;0;0;446;19,18;503;0,9;0,19;1,4;0;0,247;28,9;65;21,7;31,9;11,67;11.346;0;701;1;100;30
Enero;1;1/01/2016;10:00:00 a, m,;31,8;31,8;30,2;65;24,4;0;NNE;0;0,4;NNE;31,8;38,1;38,1;44,4;1009,2;0;0;0;548;23,57;592;1,9;0,41;2,4;0;0,281;29,5;64;22;32,8;11,45;11.319;0,3302;701;1;100;30
Enero;1;1/01/2016;10:30:00 a, m,;32,4;32,4;31,8;63;24,5;0;;0;0;---;32,4;39,3;39,3;45,8;1008,9;0;0;0;617;26,53;656;2,8;0,6;3,2;0;0,294;30,1;64;22,5;34;11,41;11.286;0;701;1;100;30
Enero;1;1/01/2016;11:00:00 a, m,;33,7;33,7;32,4;59;24,6;0;;0;0;---;33,7;41,3;41,3;48;1008,4;0;0;0;670;28,81;703;3,4;0,73;3,9;0;0,321;30,8;63;23;35,2;11,2;11.242;0,4318;702;1;100;30
Enero;1;1/01/2016;11:30:00 a, m,;33,5;33,8;33,4;58;24,1;0;E;0;0,9;E;33,5;40,3;40,3;46,4;1007,9;0;0;0;562;24,17;851;3,6;0,77;4,7;0;0,316;31,4;63;23,5;36,4;11,18;11.201;0;701;1;100;30
Enero;1;1/01/2016;12:00:00 p, m,;34,3;34,5;33,5;57;24,6;0;ESE;0;1,8;SE;34,3;42,2;42,2;49;1007,7;0;0;0;694;29,85;828;3,9;0,84;4,7;0;0,333;32,1;62;23,9;38;10,95;11.167;0,4318;702;1;100;30
Enero;1;1/01/2016;12:30:00 p, m,;35;35;34,3;56;24,9;0;N;0;0,4;N;35;43,8;43,8;50,4;1007,3;0;0;0;649;27,91;807;3,1;0,66;4,5;0;0,347;32,6;62;24,4;39,3;10,94;11.135;0;700;1;100;30
Enero;1;1/01/2016;01:00:00 p, m,;35,3;35,6;35;57;25,5;0;SSW;0;2,2;SSW;35,3;45,2;45,2;52;1006,7;0;0;0;763;32,81;789;4;0,86;4,6;0;0,354;33,2;61;24,7;40,6;10,75;11.100;0,4826;702;1;100;30
Enero;1;1/01/2016;01:30:00 p, m,;35,3;35,7;35,1;57;25,5;0;ESE;0;2,2;SE;35,3;45,1;45,1;51,7;1006,4;0;0;0;613;26,36;831;3,5;0,75;4,2;0;0,353;33,8;61;25,3;42,3;10,75;11.062;0;698;1;100;30
Enero;1;1/01/2016;02:00:00 p, m,;34,4;35,8;34,4;61;25,8;0;ESE;0;2,7;E;34,4;44,2;44,2;50,3;1006;0;0;0;512;22,02;835;2,7;0,58;3,9;0;0,336;34,3;61;25,7;43,8;10,75;11.029;0,4064;701;1;100;30
Enero;1;1/01/2016;02:30:00 p, m,;33,7;34,4;33,5;64;25,9;0;ESE;0;2,2;E;33,7;43,2;43,2;47,3;1005,6;0;0;0;296;12,73;693;1,1;0,24;2;0;0,319;34,4;61;25,8;44,2;10,75;11.018;0;701;1;100;30
Enero;1;1/01/2016;03:00:00 p, m,;34,3;34,3;33,7;63;26,2;0;S;0;1,8;ESE;34,3;44,6;44,6;51,1;1005,5;0;0;0;481;20,69;619;1,3;0,28;1,8;0;0,332;34,6;61;25,9;44,6;10,75;11.011;0,2794;701;1;100;30
Enero;1;1/01/2016;03:30:00 p, m,;33,7;34,4;33,6;64;25,9;0;SSW;0;2,2;S;33,7;43,2;43,2;47,5;1005,4;0;0;0;254;10,92;478;0,4;0,09;1,1;0;0,319;34,7;60;25,8;44,4;10,55;11.010;0;703;1;100;30
Enero;1;1/01/2016;04:00:00 p, m,;33,6;33,7;33,4;61;25;0;ESE;0;0,9;S;33,6;41,7;41,7;44,9;1005,6;0;0;0;165;7,1;192;0;0;0;0;0,318;34,7;60;25,8;44,4;10,55;11.012;0,1524;695;1;100;30
Enero;1;1/01/2016;04:30:00 p, m,;30,2;33,7;30,2;64;22,7;0;NW;0;2,7;NW;30,2;34,4;34,4;35,8;1006,3;0;0;0;76;3,27;165;0;0;0,5;0;0,248;34,6;60;25,7;44,1;10,55;11.026;0;702;1;100;30
Enero;1;1/01/2016;05:00:00 p, m,;29,8;30,2;29,8;63;22;0;NW;0;0,4;NW;29,8;33,3;33,3;33,1;1006,4;0;0;0;43;1,85;56;0;0;0;0;0,24;34,2;59;25,1;42,7;10,38;11.053;0,0508;700;1;100;30
Enero;1;1/01/2016;05:30:00 p, m,;29,3;29,9;29,3;66;22,3;0;;0;0;---;29,3;32,8;32,8;32,2;1006,4;0;0;0;15;0,65;26;0;0;0;0;0,229;33,8;59;24,7;41,6;10,39;11.074;0;702;1;100;30
Enero;1;1/01/2016;06:00:00 p, m,;28,7;29,3;28,7;66;21,7;0;;0;0;---;28,7;31,6;31,6;30,8;1006,3;0;0;0;3;0,13;11;0;0;0;0;0,216;33,3;59;24,2;40,2;10,41;11.101;0,0254;700;1;100;30
Enero;1;1/01/2016;06:30:00 p, m,;28;28,7;27,9;62;20;0;;0;0;---;28;29,6;29,6;28,7;1006,4;0;0;0;0;0;0;0;0;0;0;0,201;33;60;24,2;39,6;10,55;11.114;0;702;1;100;30
Enero;1;1/01/2016;07:00:00 p, m,;27,9;28;27,8;61;19,7;0;;0;0;---;27,9;29,3;29,3;28,3;1006,7;0;0;0;0;0;0;0;0;0;0;0,199;32,6;60;23,8;38,6;10,55;11.139;0;701;1;100;30
Enero;1;1/01/2016;07:30:00 p, m,;27,7;27,9;27,7;60;19,2;0;;0;0;---;27,7;28,8;28,8;27,9;1007;0;0;0;0;0;0;0;0;0;0;0,194;32,4;61;23,9;38,4;10,75;11.150;0;698;1;100;30
Enero;1;1/01/2016;08:00:00 p, m,;27,6;27,8;27,6;53;17,2;0;;0;0;---;27,6;28,1;28,1;27,1;1007,5;0;0;0;0;0;0;0;0;0;0;0,193;32;61;23,5;37,4;10,77;11.177;0,0508;703;1;100;30
Enero;1;1/01/2016;08:30:00 p, m,;27,4;27,7;27,3;47;15,1;0;;0;0;---;27,4;27,4;27,4;26,3;1007,9;0;0;0;0;0;0;0;0;0;0;0,19;31,8;61;23,3;36,8;10,78;11.194;0;701;1;100;30
Enero;1;1/01/2016;09:00:00 p, m,;27,1;27,4;27;44;13,8;0;;0;0;---;27,1;26,8;26,8;25,6;1007,7;0;0;0;0;0;0;0;0;0;0;0,182;31,6;62;23,4;36,5;10,97;11.198;0,0508;699;1;100;30
Enero;1;1/01/2016;09:30:00 p, m,;26,9;27,1;26,9;43;13,3;0;;0;0;---;26,9;26,6;26,6;25,4;1007,7;0;0;0;0;0;0;0;0;0;0;0,179;31,3;62;23,2;35,9;10,98;11.211;0;700;1;100;30
Enero;1;1/01/2016;10:00:00 p, m,;27,1;27,1;26,9;34;9,8;0;;0;0;---;27,1;26,2;26,2;24,8;1008,2;0;0;0;0;0;0;0;0;0;0;0,182;31,1;62;23;35,4;10,99;11.229;0,0508;701;1;100;30
Enero;1;1/01/2016;10:30:00 p, m,;27,1;27,1;26,9;42;13,1;0;;0;0;---;27,1;26,7;26,7;25,4;1008,4;0;0;0;0;0;0;0;0;0;0;0,183;30,9;62;22,8;35,2;11;11.240;0;700;1;100;30
Enero;1;1/01/2016;11:00:00 p, m,;26,9;27,1;26,9;36;10,6;0;;0;0;---;26,9;26,2;26,2;24,8;1008,6;0;0;0;0;0;0;0;0;0;0;0,179;30,7;63;22,9;35,1;11,2;11.250;0,0762;700;1;100;30
