Mes;Dia;Fecha;Hora;Temp externa (°C);Max temp (°C);Min Temp (°C);HR% Ext;Punto Rocio;Velocidad Viento;Direccion Viento;Wind Run;Hi Speed;Hi Dir;Wind Chill;Heat Index;THW Index;THSW Index;Presion Bar (milibar);LLUVIA (mm);tasa lluvia;Radiacion Solar (W/m2);Energía Solar (langleys);Hi Solar Rad;UV Index;UV Dose;Hi UV;Heat D-D;Cool D-D;Temp  interior;HR% int;Punto Rocio int;Heat index int;EMC;In Air Density;ET (mm);Wind Samp;Wind TX;ISS Recept;Arc Int
Enero;1;1/01/2017;12:00 a. m.;24,3;24,6;24,2;86;21,8;0;---;0;0;---;24,3;26,1;26,1;25,2;1010,6;0;0;0;0;0;0;0;0;0;0,248;29,2;73;23,8;33,8;13,56;11.311;0,0254;1246;5;100;60
Enero;1;1/01/2017;1:00 a. m.;24,2;24,3;24,1;86;21,7;0;---;0;0;---;24,2;25,9;25,9;25,1;1010;0;0;0;0;0;0;0;0;0;0,243;28,8;74;23,7;33,4;14;11.320;0,0254;1247;5;100;60
Enero;1;1/01/2017;2:00 a. m.;24,1;24,2;24,1;85;21,4;0;SE;0;0,4;SE;24,1;25,8;25,8;24,9;1009,6;0;0;0;0;0;0;0;0;0;0,241;28,5;74;23,4;32,5;14;11.333;0,0254;1246;5;100;60
Enero;1;1/01/2017;3:00 a. m.;23,5;24,1;23,5;86;21;0;---;0;0;---;23,5;24,9;24,9;23,9;1009,1;0;0;0;0;0;0;0;0;0;0,215;28,2;75;23,3;31,8;14;11.342;0,0254;1249;5;100;60
Enero;1;1/01/2017;4:00 a. m.;23,3;23,5;23,3;86;20,9;0;---;0;0;---;23,3;24,6;24,6;23,6;1009,5;0;0;0;0;0;0;0;0;0;0,208;27,9;75;23,1;31,3;14;11.360;0,0254;1255;5;100;60
Enero;1;1/01/2017;5:00 a. m.;23;23,5;23;86;20,5;0;---;0;0;---;23;24,2;24,2;23,2;1010;0;0;0;0;0;0;0;0;0;0,194;27,8;76;23,2;31;15;11.370;0,0254;1257;5;100;60
Enero;1;1/01/2017;6:00 a. m.;22,4;23;22,4;86;20;0;---;0;0;---;22,4;23,6;23,6;22,5;1010,3;0;0;0;0;0;0;0;0;0;0,171;27,4;76;22,8;30,3;15;11.393;0,0254;1256;5;100;60
Enero;1;1/01/2017;7:00 a. m.;22,6;22,6;22,3;87;20,3;0;---;0;0;---;22,6;23,7;23,7;22,8;1010,9;0;0;10;0,86;35;0;0;0;0;0,176;27,2;76;22,6;29,8;15;11.412;0;1253;5;100;60
Enero;1;1/01/2017;8:00 a. m.;24,4;24,4;22,6;87;22,1;0;SE;0;1,8;SE;24,4;26,2;26,2;26,9;1011,9;0;0;57;4,9;98;0,1;0,04;0,6;0;0,252;27,2;77;22,8;29,9;15;11.420;0,0254;1252;5;100;60
Enero;1;1/01/2017;9:00 a. m.;27,9;27,9;24,4;76;23,3;0;SE;0;0,9;SE;27,9;31,3;31,3;34,8;1012,2;0;0;239;20,56;441;1,4;0,6;2,5;0;0,398;27,7;76;23,1;30,7;15;11.403;0,1524;1256;5;100;60
Enero;1;1/01/2017;10:00 a. m.;30,3;30,4;27,9;67;23,5;0;NNW;0;2,2;NW;30,3;35,3;35,3;41,6;1012;0;0;549;47,22;626;3,8;1,63;5;0;0,5;28,7;75;23,8;33,3;14;11.344;0,3556;1278;5;100;60
Enero;1;1/01/2017;11:00 a. m.;32,2;32,2;30,3;64;24,5;0,4;NW;1,61;2,7;WNW;32,2;38,8;38,8;45,6;1011,8;0;0;683;58,75;773;5,9;2,53;6,7;0;0,576;29,9;73;24,6;35,6;14;11.281;0,4572;1277;5;100;60
