Mes;Dia;Fecha;Hora;Temp externa (°C);Max temp (°C);Min Temp (°C);HR% Ext;Punto Rocio;Velocidad Viento (m/s);Direccion Viento;Wind Run;Hi Speed;Hi Dir;Wind Chill;Heat Index;THW Index;THSW Index;Presion Bar (milibar);LLUVIA (mm);tasa lluvia;Radiacion Solar (W/m2);Energía Solar (langleys);Hi Solar Rad;UV Index;UV Dose;Hi UV;Heat D-D;Cool D-D;Temp  interior;HR% int;Punto Rocio int;Heat index int;EMC;In Air Density;ET (mm);Wind Samp;Wind TX;ISS Recept;Arc Int
Enero;1;1/01/2018;0:00:00;23,8;24,3;23,7;55;14,2;0;---;0;0;---;23,8;24;24;22,9;1011,1;0;0;0;0;0;0;0;0;0;0,227;26,8;74;21,8;28,9;13,94;11.445;0,05;1238;5;99,5;60
Enero;1;1/01/2018;1:00:00;24,1;24,2;23,7;59;15,5;0;---;0;0;---;24,1;24,5;24,5;23,4;1010,5;0;0;0;0;0;0;0;0;0;0,238;26,6;74;21,6;28,5;13,95;11.450;0,05;1204;5;96,8;60
Enero;1;1/01/2018;2:00:00;23,3;24,1;23,3;52;12,9;0;---;0;0;---;23,3;23,2;23,2;22,1;1010;0;0;0;0;0;0;0;0;0;0,206;26,4;74;21,4;28,1;13,96;11.457;0,05;1240;5;99,7;60
Enero;1;1/01/2018;3:00:00;23,4;23,4;23,2;49;12,1;0;---;0;0;---;23,4;23,2;23,2;22;1010,3;0;0;0;0;0;0;0;0;0;0,211;26,2;75;21,4;27,9;14,35;11.468;0,05;1244;5;100;60
Enero;1;1/01/2018;4:00:00;23,2;23,4;23,2;49;11,9;0;---;0;0;---;23,2;23;23;21,8;1010,3;0;0;0;0;0;0;0;0;0;0,204;26;75;21,2;27,6;14,35;11.479;0,05;1236;5;99,4;60
Enero;1;1/01/2018;5:00:00;22,8;23,2;22,8;49;11,5;0;---;0;0;---;22,8;22,4;22,4;21,2;1011,2;0;0;0;0;0;0;0;0;0;0,185;25,9;75;21,1;27,4;14,35;11.495;0,05;1250;5;100;60
Enero;1;1/01/2018;6:00:00;22,8;22,8;22,6;49;11,5;0;---;0;0;---;22,8;22,4;22,4;21,4;1011,7;0;0;14;1,2;65;0;0;0;0;0,185;25,6;76;21;27,1;14,65;11.516;0,03;1242;5;99,8;60
Enero;1;1/01/2018;7:00:00;25,2;25,2;22,8;64;17,9;0;---;0;0;---;25,2;25,8;25,8;26,5;1012,7;0;0;60;5,16;114;0,1;0,04;0,7;0;0,285;25,6;76;21;27,1;14,65;11.527;0,05;1260;5;100;60
Enero;1;1/01/2018;8:00:00;27,8;27,8;25,2;74;22,8;0;ENE;0;0,4;ENE;27,8;30,8;30,8;34;1012,9;0;0;213;18,32;434;1,8;0,77;2,9;0;0,396;26,1;75;21,3;27,8;14,35;11.502;0,15;1262;5;100;60
Enero;1;1/01/2018;9:00:00;29,9;30,1;27,8;70;23,8;0;WNW;0;2,7;NNW;29,9;34,9;34,9;41,2;1012,9;0;0;557;47,91;631;4,5;1,93;5,8;0;0,481;26,9;74;21,9;29,1;13,94;11.459;0,36;1271;5;100;60
