Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38
;;Temp;Hi;Low;Out;Dew;Wind;Wind;Wind;Hi;Hi;Wind;Heat;THW;THSW;;;Rain;Solar;Solar;Hi Solar;UV ;UV ;Hi ;Heat;Cool;In ;In;In ;In ;In ;In Air;;Wind;Wind;ISS ;Arc.
Date;Time;Out;Temp;Temp;Hum;Pt.;Speed;Dir;Run;Speed;Dir;Chill;Index;Index;Index;Bar  ;Rain;Rate;Rad.;Energy;Rad. ;Index;Dose;UV ;D-D ;D-D ;Temp;Hum;Dew;Heat;EMC;Density;ET ;Samp;Tx ;Recept;Int.
27/10/19;7:00 p;24.4;24.7;24.4;88;22.3;0.4;W;1.61;2.2;WNW;24.4;26.3;26.3;---;755.8;0.20;3.8;0;0.00;0;0.0;0.00;0.0;0.000;0.255;29.2;71;23.4;33.5;12.87;1.1287;0.03;1399;1;100.0;60
27/10/19;8:00 p;24.2;24.4;24.2;88;22.1;0.0;W;0.00;0.9;W;24.2;26.1;26.1;---;756.5;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.245;28.6;72;23.1;32.4;13.25;1.1324;0.00;1399;1;100.0;60
27/10/19;9:00 p;24.2;24.2;24.2;88;22.1;0.0;W;0.00;0.9;W;24.2;26.0;26.0;---;756.8;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.243;28.1;73;22.8;31.2;13.60;1.1356;0.00;1403;1;100.0;60
27/10/19;10:00 p;24.1;24.2;24.0;88;21.9;0.0;W;0.00;0.4;W;24.1;25.9;25.9;---;757.0;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.238;27.6;73;22.3;30.2;13.62;1.1384;0.00;1401;1;100.0;60
27/10/19;11:00 p;24.0;24.1;24.0;89;22.1;0.0;W;0.00;0.4;W;24.0;25.8;25.8;---;757.1;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.236;27.3;74;22.2;29.7;13.93;1.1400;0.00;1399;1;100.0;60
28/10/19;12:00 a;23.9;24.1;23.9;89;22.0;0.0;---;0.00;0.0;---;23.9;25.8;25.8;---;756.7;0.20;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.234;27.1;74;22.0;29.3;13.94;1.1407;0.00;1400;1;100.0;60
28/10/19;1:00 a;23.8;24.0;23.8;89;21.9;0.0;---;0.00;0.0;---;23.8;25.5;25.5;---;756.2;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.227;26.8;75;22.0;28.9;14.34;1.1407;0.00;1405;1;100.0;60
28/10/19;2:00 a;23.6;23.8;23.6;89;21.6;0.0;---;0.00;0.0;---;23.6;25.1;25.1;---;756.0;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.218;26.5;75;21.7;28.4;14.35;1.1422;0.00;1378;1;100.0;60
28/10/19;3:00 a;23.3;23.6;23.3;89;21.4;0.0;W;0.00;0.9;W;23.3;24.6;24.6;---;755.9;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.206;26.3;75;21.5;28.1;14.35;1.1434;0.00;1401;1;100.0;60
28/10/19;4:00 a;23.1;23.3;23.1;89;21.2;0.0;W;0.00;0.4;W;23.1;24.4;24.4;---;756.1;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.199;26.1;76;21.5;27.9;14.65;1.1442;0.00;1402;1;100.0;60
28/10/19;5:00 a;22.8;23.1;22.8;89;20.9;0.0;W;0.00;0.4;W;22.8;24.1;24.1;---;756.2;0.00;0.0;0;0.00;0;0.0;0.00;0.0;0.000;0.185;25.9;76;21.3;27.6;14.65;1.1456;0.00;1402;1;100.0;60
28/10/19;6:00 a;22.7;22.8;22.6;89;20.8;0.0;---;0.00;0.0;---;22.7;24.0;24.0;---;757.0;0.00;0.0;1;0.09;9;0.0;0.00;0.0;0.000;0.181;25.7;76;21.1;27.2;14.65;1.1480;0.00;1402;1;100.0;60
28/10/19;7:00 a;23.6;23.6;22.7;89;21.6;0.0;---;0.00;0.0;---;23.6;25.1;25.1;---;757.4;0.00;0.0;28;2.41;77;0.0;0.00;0.0;0.000;0.218;25.6;77;21.2;27.2;14.95;1.1490;0.03;1402;1;100.0;60
28/10/19;8:00 a;25.6;25.6;23.6;88;23.4;0.0;ENE;0.00;1.8;N;25.6;28.1;28.1;---;757.5;0.20;0.0;57;4.90;114;0.5;0.21;1.4;0.000;0.301;25.9;78;21.8;27.7;15.25;1.1469;0.03;1403;1;100.0;60
28/10/19;9:00 a;28.5;28.5;25.6;81;24.9;0.4;NNE;1.61;2.2;W;28.5;33.8;33.8;---;757.8;0.00;0.0;137;11.78;563;2.3;0.99;4.2;0.000;0.424;26.6;79;22.7;29.0;15.55;1.1428;0.10;1402;1;100.0;60
28/10/19;10:00 a;29.9;29.9;28.5;77;25.4;0.4;NNE;1.61;2.7;NNE;29.9;36.2;36.2;---;757.6;0.00;0.0;602;51.78;914;5.1;2.19;7.3;0.000;0.481;27.7;78;23.5;31.2;15.21;1.1365;0.41;1401;1;100.0;60
28/10/19;11:00 a;30.9;30.9;29.9;73;25.5;0.4;WNW;1.61;2.2;WNW;30.9;37.7;37.7;---;757.2;0.00;0.0;484;41.63;988;5.9;2.53;9.5;0.000;0.523;27.1;52;16.4;27.3;9.44;1.1505;0.36;1399;1;100.0;60
28/10/19;12:00 p;32.1;32.1;30.8;70;25.9;0.4;WNW;1.61;2.2;W;32.1;40.6;40.6;---;756.8;0.00;0.0;608;52.29;1021;7.4;3.17;9.8;0.000;0.574;25.8;43;12.2;25.4;8.05;1.1598;0.43;1398;1;100.0;60
28/10/19;1:00 p;32.7;32.8;31.9;66;25.5;1.3;N;4.83;3.6;NE;32.7;41.1;41.1;---;756.0;0.00;0.0;885;76.12;969;8.8;3.77;9.8;0.000;0.600;26.0;42;12.1;25.7;7.87;1.1579;0.58;1399;1;100.0;60
28/10/19;2:00 p;33.2;33.3;32.5;64;25.5;0.9;NNE;3.22;3.1;W;33.2;41.8;41.8;---;755.2;0.00;0.0;788;67.78;905;7.1;3.04;8.3;0.000;0.620;26.6;41;12.3;26.1;7.75;1.1542;0.56;1404;1;100.0;60
