CORPOICA;CARIBIA;FONTAGRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/2019;12:00;am;:;6;Month;;;;;;;;;;;;;;;;;;;;;;;;;
;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;;
Date;&;Time;ISS Recepcion;Temp ;Temp alta ;Temp. Baja ;Hum ;Punto de rocio ;Wet Bulb ;Velocidad del viento - m/s;Direccion del viento;Viento Corriente;Alta velocidad del viento;Alta Dirección del viento;Viento Frio;Indice de calor;THW Index ;THSW  indice;Barometro;Lluvia;Tasa de lluvia;Rad Solar ;Energia solar;Rad Solar Alta ;ET - mm;El indice UV - Index;Dosis de UV;Alto indice UV;Dias-grado de calentamiento;Dias-grado de enfriamiento
1/07/2019 0:00;;;;26;26;26;83;23;23;0;;0.0;0;;26;28;28;27;754.1;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.306
1/07/2019 1:00;;;;25;26;25;83;22;23;0;;0.0;0;;25;27;27;26;754.3;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.287
1/07/2019 2:00;;;;25;25;25;83;22;22;0;;0.0;0;;25;26;26;25;754.0;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.266
1/07/2019 3:00;;;;24;25;24;82;21;22;0;;0.0;0;;24;26;26;25;754.0;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.250
1/07/2019 4:00;;;;24;24;24;82;21;22;0;;0.0;0;;24;25;25;24;753.9;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.238
1/07/2019 5:00;;;;24;24;24;82;20;21;0;;0.0;0;;24;25;25;24;754.0;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.220
1/07/2019 6:00;;;;23;24;23;82;20;21;0;;0.0;0;;23;25;25;23;754.6;0.0;0.0;2;0.17;16;0.0;0;0.0;0;0.000;0.213
1/07/2019 7:00;;;;25;25;23;82;21;22;0;;0.0;0;;25;26;26;28;755.0;0.0;0.0;85;7.31;204;0.1;0;0.0;0;0.000;0.266
1/07/2019 8:00;;;;29;29;25;79;25;26;0;;0.0;0;;29;35;35;40;755.1;0.0;0.0;324;27.88;436;0.2;0;0.0;0;0.000;0.454
1/07/2019 9:00;;;;30;30;29;78;26;27;0;;0.0;0;;30;37;37;43;755.6;0.0;0.0;537;46.21;654;0.4;0;0.0;0;0.000;0.484
1/07/2019 10:00;;;;31;31;30;74;26;27;0;;0.0;0;;31;39;39;45;755.6;0.0;0.0;551;47.41;854;0.4;0;0.0;0;0.000;0.528
1/07/2019 11:00;;;;31;32;31;72;26;27;0;;0.0;0;;31;40;40;46;755.6;0.0;0.0;557;47.93;842;0.4;4;1.5;6;0.000;0.549
1/07/2019 12:00;;;;33;33;31;68;26;27;0;;0.0;0;;33;42;42;49;754.9;0.0;0.0;904;77.78;1034;0.6;8;3.4;9;0.000;0.604
1/07/2019 13:00;;;;34;34;33;65;26;27;0;;0.0;0;;34;43;43;50;754.4;0.0;0.0;704;60.57;1030;0.5;6;2.7;9;0.000;0.634
1/07/2019 14:00;;;;33;34;33;71;27;29;0;;0.0;0;;33;45;45;52;753.7;0.0;0.0;582;50.08;856;0.4;5;2.0;6;0.000;0.630
1/07/2019 15:00;;;;33;34;33;67;26;27;0;;0.0;0;;33;41;41;48;752.9;0.0;0.0;581;49.99;1002;0.4;3;1.1;7;0.000;0.593
1/07/2019 16:00;;;;32;33;32;67;25;27;0;;0.0;0;;32;40;40;46;752.7;0.0;0.0;356;30.63;438;0.3;0;0.0;0;0.000;0.583
1/07/2019 17:00;;;;32;32;32;73;26;27;0;;0.0;0;;32;41;41;44;753.0;0.0;0.0;182;15.66;271;0.1;0;0.0;0;0.000;0.556
1/07/2019 18:00;;;;30;32;30;78;26;27;0;;0.0;0;;30;38;38;38;752.9;0.0;0.0;76;6.54;125;0.1;0;0.0;0;0.000;0.498
1/07/2019 19:00;;;;29;30;29;82;25;26;0;;0.0;0;;29;35;35;34;753.2;0.0;0.0;6;0.52;21;0.0;0;0.0;0;0.000;0.433
1/07/2019 20:00;;;;28;29;28;83;24;25;0;;0.0;0;;28;32;32;31;753.7;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.384
1/07/2019 21:00;;;;27;28;27;83;24;25;0;;0.0;0;;27;31;31;30;753.7;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.361
1/07/2019 22:00;;;;26;27;26;83;23;24;0;;0.0;0;;26;29;29;28;754.3;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.326
1/07/2019 23:00;;;;27;27;26;83;24;24;0;;0.0;0;;27;30;30;29;754.2;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.347
2/07/2019 0:00;;;;27;27;27;83;24;24;0;;0.0;0;;27;30;30;29;754.3;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.356
2/07/2019 1:00;;;;27;27;27;83;24;24;0;;0.0;0;;27;30;30;29;753.8;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.356
2/07/2019 2:00;;;;26;27;26;84;23;24;0;;0.0;0;;26;29;29;28;753.5;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.329
2/07/2019 3:00;;;;25;26;25;84;23;23;0;;0.0;0;;25;28;28;27;753.4;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.296
2/07/2019 4:00;;;;25;25;25;84;22;23;0;;0.0;0;;25;27;27;26;754.1;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.289
2/07/2019 5:00;;;;25;25;25;83;22;23;0;;0.0;0;;25;27;27;26;753.9;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.292
2/07/2019 6:00;;;;25;25;25;83;22;23;0;;0.0;0;;25;27;27;26;753.9;0.0;0.0;5;0.43;26;0.0;0;0.0;0;0.000;0.285
2/07/2019 7:00;;;;27;27;25;83;24;24;0;;0.0;0;;27;30;30;32;754.2;0.0;0.0;97;8.35;258;0.1;0;0.0;0;0.000;0.347
2/07/2019 8:00;;;;29;29;27;81;26;27;0;;0.0;0;;29;36;36;42;754.7;0.0;0.0;400;34.42;570;0.3;0;0.0;0;0.000;0.461
2/07/2019 9:00;;;;30;30;29;79;26;26;0;;0.0;0;;30;36;36;42;755.1;0.0;0.0;453;38.98;733;0.3;0;0.0;0;0.000;0.470
2/07/2019 10:00;;;;31;31;30;78;26;27;0;;0.0;0;;31;39;39;45;754.8;0.0;0.0;490;42.16;780;0.3;0;0.1;8;0.000;0.512
2/07/2019 11:00;;;;31;32;31;74;26;27;0;;0.0;0;;31;40;40;47;754.6;0.0;0.0;685;58.94;1160;0.5;6;2.6;16;0.000;0.549
2/07/2019 12:00;;;;32;32;31;73;27;28;0;;0.0;0;;32;42;42;49;754.3;0.0;0.0;699;60.14;1165;0.5;7;3.1;11;0.000;0.572
2/07/2019 13:00;;;;33;33;32;69;26;28;0;;0.0;0;;33;43;43;50;753.8;0.0;0.0;920;79.16;1139;0.6;9;3.8;11;0.000;0.609
2/07/2019 14:00;;;;33;33;33;63;25;27;0;;0.0;0;;33;41;41;48;753.2;0.0;0.0;927;79.76;990;0.6;8;3.3;9;0.000;0.623
2/07/2019 15:00;;;;31;34;31;76;26;27;0;;0.0;0;;31;40;40;46;752.9;0.0;0.0;474;40.78;979;0.3;2;0.9;7;0.000;0.535
2/07/2019 18:00;;;;27;28;27;83;24;25;0;;0.0;0;;27;31;31;31;753.2;0.4;0.8;51;4.39;74;0.1;0;0.0;0;0.000;0.370
2/07/2019 19:00;;;;27;27;27;82;23;24;0;;0.0;0;;27;30;30;29;753.3;0.0;0.0;4;0.34;21;0.0;0;0.0;0;0.000;0.347
2/07/2019 20:00;;;;26;27;26;82;23;23;0;;0.0;0;;26;28;28;27;753.4;0.2;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.317
2/07/2019 21:00;;;;25;26;25;82;22;23;0;;0.0;0;;25;27;27;26;753.7;0.0;0.0;0;0.00;0;0.0;0;0.0;0;0.000;0.296
