EstacionRegistroId;EstacionId;Timestamp;TiempoSys;Barometro;Temperatura;VelocidadViento;DireccionViento;HumedadRelativa;UV;RadiacionSolar;Lluvia;TensionPanelSolar;EstacionAnomaliaId;DescripcionAnomalia;InsertedBy;InsertDate;UpdatedBy;UpdateDate
3373493;2;1598875200;31/08/2020 12:00;1006,3;32,7;0;228;63;7,6;793;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 12:15;servicioWeatherlink;31/08/2020 12:15
3373474;2;1598871600;31/08/2020 11:00;1007,2;32,3;0;110;64;7,6;868;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 11:15;servicioWeatherlink;31/08/2020 11:15
3373459;2;1598868000;31/08/2020 10:00;1007,6;31,6;0;123;60;5,2;738;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 10:15;servicioWeatherlink;31/08/2020 10:15
3373439;2;1598864400;31/08/2020 9:00;1007,7;30,3;0;136;68;2,8;550;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 9:15;servicioWeatherlink;31/08/2020 9:15
3373423;2;1598860800;31/08/2020 8:00;1007,5;28,4;0;331;69;1,1;292;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 8:15;servicioWeatherlink;31/08/2020 8:15
3373406;2;1598857200;31/08/2020 7:00;1006,6;23,2;0;331;100;0;35;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 7:15;servicioWeatherlink;31/08/2020 7:15
3373390;2;1598853600;31/08/2020 6:00;1005,7;22,6;0;331;100;0;0;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 6:15;servicioWeatherlink;31/08/2020 6:15
3373373;2;1598850000;31/08/2020 5:00;1005,1;22,8;0;331;100;0;0;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 5:15;servicioWeatherlink;31/08/2020 5:15
3373357;2;1598846400;31/08/2020 4:00;1004,8;23,1;0;331;98;0;0;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 4:15;servicioWeatherlink;31/08/2020 4:15
3373342;2;1598842800;31/08/2020 3:00;1004,2;23,4;0;331;98;0;0;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 3:15;servicioWeatherlink;31/08/2020 3:15
3373327;2;1598839200;31/08/2020 2:00;1004,6;24,1;0;331;99;0;0;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 2:15;servicioWeatherlink;31/08/2020 2:15
3373310;2;1598835600;31/08/2020 1:00;1005,1;24,6;0;331;99;0;0;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 1:15;servicioWeatherlink;31/08/2020 1:15
3373296;2;1598832000;31/08/2020 0:00;1005,9;24,7;0;331;98;0;0;0;NULL;NULL;NULL;servicioWeatherlink;31/08/2020 0:15;servicioWeatherlink;31/08/2020 0:15
3373282;2;1598828400;30/08/2020 23:00;1005,7;24,8;0;331;99;0;0;0,20066;NULL;NULL;NULL;servicioWeatherlink;30/08/2020 23:15;servicioWeatherlink;30/08/2020 23:15
3373263;2;1598824800;30/08/2020 22:00;1006,3;25,1;0;331;98;0;0;0,20066;NULL;NULL;NULL;servicioWeatherlink;30/08/2020 22:15;servicioWeatherlink;30/08/2020 22:15
