EstacionRegistroId;EstacionId;Timestamp;TiempoSys;Barometro;Temperatura;VelocidadViento;DireccionViento;HumedadRelativa;UV;RadiacionSolar;Lluvia;TensionPanelSolar;EstacionAnomaliaId;DescripcionAnomalia;InsertedBy;InsertDate;UpdatedBy;UpdateDate
3208798;2;1580515200;1/02/2020 0:00;1005,4;24,9;0;242;86;0;0;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 0:15;servicioWeatherlink;1/02/2020 0:15
3208808;2;1580518800;1/02/2020 1:00;1005;23,5;0;242;88;0;0;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 1:15;servicioWeatherlink;1/02/2020 1:15
3208820;2;1580522400;1/02/2020 2:00;1004,5;22,7;0;242;91;0;0;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 2:14;servicioWeatherlink;1/02/2020 2:14
3208832;2;1580526000;1/02/2020 3:00;1004,1;22,2;0;242;92;0;0;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 3:15;servicioWeatherlink;1/02/2020 3:15
3208843;2;1580529600;1/02/2020 4:00;1004,6;21,8;0;242;93;0;0;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 4:15;servicioWeatherlink;1/02/2020 4:15
3208851;2;1580533200;1/02/2020 5:00;1005,2;21,4;0;242;94;0;0;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 5:15;servicioWeatherlink;1/02/2020 5:15
3208860;2;1580536800;1/02/2020 6:00;1005,1;21,3;0;242;95;0;0;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 6:15;servicioWeatherlink;1/02/2020 6:15
3208871;2;1580540400;1/02/2020 7:00;1005,9;21,7;0;242;96;0;17;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 7:15;servicioWeatherlink;1/02/2020 7:15
3208885;2;1580544000;1/02/2020 8:00;1006,8;25,8;0;242;89;0,4;173;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 8:15;servicioWeatherlink;1/02/2020 8:15
3208898;2;1580547600;1/02/2020 9:00;1007,1;28,3;0;292;82;1,8;396;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 9:15;servicioWeatherlink;1/02/2020 9:15
3208915;2;1580551200;1/02/2020 10:00;1007,2;30,9;0;323;69;3,9;588;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 10:15;servicioWeatherlink;1/02/2020 10:15
3208926;2;1580554800;1/02/2020 11:00;1006,3;33,1;1,60934;5;64;6,3;738;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 11:15;servicioWeatherlink;1/02/2020 11:15
3208950;2;1580558400;1/02/2020 12:00;1005,1;34,1;3,21868;329;57;8,1;826;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 12:15;servicioWeatherlink;1/02/2020 12:15
3208957;2;1580562000;1/02/2020 13:00;1004,4;35,6;1,60934;320;53;8,4;846;0;NULL;NULL;NULL;servicioWeatherlink;1/02/2020 13:15;servicioWeatherlink;1/02/2020 13:15
