Date;&;Time;Barómetro - mm Hg;Temp - °C;Temp, Alta - °C;Temp, Baja - °C;Hum - %;Punto de rocío - °C;Bulbo Húmedo - °C;Velocidad del viento - m/s;Dirección del viento;Viento Corriente - m;Alta velocidad del viento - m/s;Alta Dirección del viento;Viento Frío - °C;Índice de calor - °C;THW Index - °C;THSW  índice - °C;Lluvia - mm;Tasa de lluvia - mm/h;Rad Solar - W/m^2;Energía solar - Ly;Rad Solar Alta - W/m^2;ET - mm;El índice UV;Dosis de UV - MEDs;Alto índice UV;Días-grado de calentamiento;Días-grado de enfriamiento
1/09/2020;12:00;AM;754,5;25;25;24;76;20;21;0;;0;0;;25;26;26;25;0;0;0;0;0;0;0;0;0;0;0,262
1/09/2020;1:00;AM;754;25;25;24;76;20;21;0;;0;0;;25;26;26;25;0;0;0;0;0;0;0;0;0;0;0,259
1/09/2020;2:00;AM;753,6;24;25;24;76;20;21;0;;0;0;;24;25;25;24;0;0;0;0;0;0;0;0;0;0;0,248
1/09/2020;3:00;AM;753,7;24;24;24;76;19;21;0;;0;0;;24;25;25;24;0;0;0;0;0;0;0;0;0;0;0,234
1/09/2020;4:00;AM;753,8;24;24;24;77;20;21;0;;0;0;;24;25;25;24;0;0;0;0;0;0;0;0;0;0;0,245
1/09/2020;5:00;AM;754,3;24;24;24;76;20;21;0;;0;0;;24;25;25;24;0;0;0;0;0;0;0;0;0;0;0,245
1/09/2020;6:00;AM;754,2;24;24;24;76;19;20;0;;0;0;;24;25;25;23;0;0;1;0,09;7;0;0;0;0;0;0,225
1/09/2020;7:00;AM;754,5;24;24;24;76;20;21;0;;0;0;;24;26;26;26;0;0;50;4,3;139;0;0;0;0;0;0,257
1/09/2020;8:00;AM;754,7;28;28;24;72;23;24;0;;0;0;;28;31;31;35;0;0;280;24,09;436;0,2;0;0;0;0;0,405
1/09/2020;9:00;AM;754,7;30;30;28;68;24;25;0;;0;0;;30;36;36;42;0;0;546;46,98;650;0,4;0;0;0;0;0,505
1/09/2020;10:00;AM;754,6;32;32;30;66;25;26;0;;0;0;;32;38;38;45;0;0;750;64,53;831;0,5;3;1,1;6;0;0,558
1/09/2020;11:00;AM;754;33;33;32;66;25;27;0;;0;0;;33;41;41;48;0;0;910;78,3;1060;0,6;7;3,1;9;0;0,595
1/09/2020;12:00;PM;753,4;33;34;32;64;26;27;0;;0;0;;33;42;42;49;0;0;967;83,2;1092;0,6;8;3,6;10;0;0,63
1/09/2020;1:00;PM;753,1;33;33;32;64;25;27;0;;0;0;;33;42;42;49;0;0;893;76,84;1130;0,6;8;3,6;9;0;0,62
1/09/2020;2:00;PM;752,5;31;33;31;67;24;26;0;;0;0;;31;37;37;43;0;0;544;46,81;1185;0,4;3;1,5;9;0;0,528
1/09/2020;3:00;PM;752,5;30;31;30;68;23;24;0;;0;0;;30;34;34;35;0;0;141;12,13;548;0,1;0;0;0;0;0,468
1/09/2020;4:00;PM;751,9;28;30;28;70;22;24;0;;0;0;;28;31;31;32;0;0;46;3,96;60;0;0;0;0;0;0,417
1/09/2020;5:00;PM;752,3;28;28;28;72;22;24;0;;0;0;;28;31;31;31;0;0;37;3,18;47;0;0;0;0;0;0,396
1/09/2020;6:00;PM;753,4;27;28;27;72;22;23;0;;0;0;;27;30;30;29;0;0;12;1,03;21;0;0;0;0;0;0,38
1/09/2020;7:00;PM;753,8;27;28;27;73;22;23;0;;0;0;;27;30;30;29;0;0;2;0,17;16;0;0;0;0;0;0,368
1/09/2020;8:00;PM;753,9;27;27;27;73;21;23;0;;0;0;;27;29;29;28;0;0;0;0;0;0;0;0;0;0;0,347
1/09/2020;9:00;PM;754;26;27;26;74;21;22;0;;0;0;;26;28;28;27;0;0;0;0;0;0;0;0;0;0;0,317
1/09/2020;10:00;PM;754,9;26;26;26;75;21;22;0;;0;0;;26;27;27;26;0;0;0;0;0;0;0;0;0;0;0,306
1/09/2020;11:00;PM;754,6;25;26;25;74;20;22;0;;0;0;;25;27;27;26;0;0;0;0;0;0;0;0;0;0;0,294
2/09/2020;12:00;AM;754,6;25;25;25;74;20;21;0;;0;0;;25;26;26;26;0;0;0;0;0;0;0;0;0;0;0,287
2/09/2020;1:00;AM;753,8;25;25;25;76;20;21;0;;0;0;;25;26;26;25;0;0;0;0;0;0;0;0;0;0;0,262
2/09/2020;2:00;AM;753,5;24;25;24;76;20;21;0;;0;0;;24;25;25;24;0;0;0;0;0;0;0;0;0;0;0,248
2/09/2020;3:00;AM;753,3;24;24;24;77;20;21;0;;0;0;;24;25;25;25;0;0;0;0;0;0;0;0;0;0;0,25
2/09/2020;4:00;AM;753,5;24;24;24;77;20;21;0;;0;0;;24;25;25;24;0;0;0;0;0;0;0;0;0;0;0,243
2/09/2020;5:00;AM;753,7;24;24;24;76;19;21;0;;0;0;;24;25;25;24;0;0;0;0;0;0;0;0;0;0;0,234
2/09/2020;6:00;AM;754,2;24;24;24;76;19;21;0;;0;0;;24;25;25;24;0;0;1;0,09;7;0;0;0;0;0;0,234
2/09/2020;7:00;AM;754,6;25;25;24;76;20;22;0;;0;0;;25;26;26;27;0;0;44;3,79;95;0;0;0;0;0;0,275
2/09/2020;8:00;AM;755;26;26;25;73;21;23;0;;0;0;SW;26;28;28;30;0;0;143;12,3;248;0,1;0;0;0;0;0,34
2/09/2020;9:00;AM;755,2;28;28;26;72;22;24;0;;0;1;SW;28;31;31;35;0;0;335;28,82;526;0,2;0;0;0;0;0,396
2/09/2020;10:00;AM;755,5;28;29;28;71;22;23;0;;0;1;WSW;28;31;31;36;0;0;432;37,17;664;0,3;0;0;0;0;0,398
2/09/2020;11:00;AM;755,4;29;29;27;70;23;24;0;;0;0;;29;32;32;36;0;0;308;26,5;696;0,2;0;0;0;0;0,428
2/09/2020;12:00;PM;754,8;28;29;28;70;22;23;0;;0;0;NNE;28;30;30;34;0;0;336;28,91;816;0,3;0;0,1;13;0;0,394
2/09/2020;1:00;PM;754,5;26;28;26;72;20;21;0;;0;1;WSW;26;27;27;28;0;0;119;10,24;172;0,1;0;0;0;0;0,299
