Año;Dia;Mes;Fecha;Hora;Temp out;Hi Temp;Low Temp;Out Hum;Dew;Wind Speed;Wind Dir;Wind Run;Hi Speed;Hi Dir;Wind Chill;Heat Index;THW Index;THSW Index;Bar  ;Rain;Rain Rate;Solar Rad;Solar Energy;Hi Solar Rad;UV  Index;UV  Dose;Hi  UV;Heat D-D;Cool D-D;In Temp;In Hum;In Dew;In Heat;In EMC;In Air Density;ET ;Wind Samp;Wind Tx;ISS Recept;Arc. Int.
2020;1;1;1/01/2020;0:00:00;25,4;25,9;25,4;85;22,7;0;---;0;0;---;25,4;27,6;27,6;---;757,9;0;0;0;0;0;0;0;0;0;0,294;28,5;73;23,2;32,3;13,58;1,1348;0,03;1401;1;100;60
2020;1;1;1/01/2020;1:00:00;25,2;25,4;25,1;86;22,7;0;---;0;0;---;25,2;27,4;27,4;---;757,4;0;0;0;0;0;0;0;0;0;0,287;28,3;73;23;31,8;13,59;1,1352;0,03;1346;1;98,4;60
2020;1;1;1/01/2020;2:00:00;25,1;25,4;25,1;85;22,4;0;---;0;0;---;25,1;27,2;27,2;---;756,9;0;0;0;0;0;0;0;0;0;0,282;28,1;74;23;31,4;13,9;1,1353;0,03;1402;1;100;60
2020;1;1;1/01/2020;3:00:00;24,3;25,1;24,3;87;22;0;SW;0;0,4;SW;24,3;26,1;26,1;---;756,8;0;0;0;0;0;0;0;0;0;0,248;27,8;74;22,8;30,8;13,91;1,1364;0,03;1403;1;100;60
2020;1;1;1/01/2020;4:00:00;23,9;24,3;23,9;87;21,6;0;SW;0;0,4;SW;23,9;25,7;25,7;---;757;0;0;0;0;0;0;0;0;0;0,231;27,6;74;22,6;30,3;13,92;1,1379;0,03;1379;1;100;60
2020;1;1;1/01/2020;5:00:00;23,8;23,9;23,7;87;21,5;0;---;0;0;---;23,8;25,4;25,4;---;756,9;0;0;0;0;0;0;0;0;0;0,227;27,4;74;22,3;29,9;13,92;1,1391;0,03;1404;1;100;60
2020;1;1;1/01/2020;6:00:00;23,3;23,8;23,3;87;21;0;---;0;0;---;23,3;24,6;24,6;---;757,4;0;0;0;0;0;0;0;0;0;0,208;27,2;75;22,3;29,6;14,33;1,1407;0,03;1375;1;100;60
2020;1;1;1/01/2020;7:00:00;23,4;23,4;23,2;87;21,1;0;---;0;0;---;23,4;24,7;24,7;---;758;0;0;11;0,95;32;0;0;0;0;0,211;26,9;75;22,1;29,2;14,34;1,1428;0;1404;1;100;60
2020;1;1;1/01/2020;8:00:00;25;25;23,4;87;22,7;0;SW;0;1,3;SW;25;27,1;27,1;---;758,5;0;0;100;8,6;178;0,3;0,13;0,8;0;0,278;26,9;75;22,1;29,2;14,34;1,1437;0,08;1402;1;100;60
2020;1;1;1/01/2020;9:00:00;27,1;27,2;25;80;23,4;0;W;0;1,8;W;27,1;30,1;30,1;---;758,7;0;0;214;18,41;454;1,5;0,64;2,5;0;0,366;27,4;75;22,6;30;14,32;1,1415;0,15;1403;1;100;60
2020;1;1;1/01/2020;10:00:00;29,3;29,3;27,2;72;23,7;0,4;WNW;1,61;2,2;W;29,3;33,9;33,9;---;758,6;0;0;417;35,87;642;3,4;1,46;5,1;0;0,456;28,1;74;23;31,4;13,9;1,138;0,28;1403;1;100;60
2020;1;1;1/01/2020;11:00:00;31,1;31,1;29,3;68;24,5;0,4;W;1,61;2,2;W;31,1;36,7;36,7;---;758,3;0;0;689;59,26;754;6,1;2,61;7,1;0;0,532;29,1;73;23,7;33,7;13,56;1,1322;0,46;1403;1;100;60
2020;1;1;1/01/2020;12:00:00;32,2;32,2;31,1;62;24;0,4;WNW;1,61;3,1;NNW;32,2;38,2;38,2;---;757,4;0;0;733;63,05;786;7,6;3,26;8,1;0;0,576;30,2;71;24,4;35,9;12,85;1,1251;0,51;1403;1;100;60
2020;1;1;1/01/2020;13:00:00;33,2;33,2;32,2;57;23,5;0,4;WNW;1,61;2,7;NNE;33,2;39,2;39,2;---;756,6;0;0;776;66,74;814;7,9;3,39;8,2;0;0,618;31,2;69;24,8;37,2;12,35;1,1195;0,56;1402;1;100;60
2020;1;1;1/01/2020;14:00:00;34,3;34,3;33,2;52;23;0,9;WNW;3,22;2,7;N;34,3;40,1;40,1;---;755,8;0;0;754;64,85;795;6,6;2,83;7,6;0;0,664;32,1;67;25,2;39,4;11,86;1,1143;0,53;1401;1;100;60
2020;1;1;1/01/2020;15:00:00;33,8;34,3;33,6;60;25;1,3;WNW;4,83;3,6;WNW;33,8;41,9;41,9;---;755,3;0;0;613;52,72;714;4,2;1,8;5,5;0;0,646;32,7;66;25,5;40,9;11,65;1,1107;0,46;1403;1;100;60
2020;1;1;1/01/2020;16:00:00;33,1;33,9;33,1;57;23,4;0,9;WNW;3,22;3,6;W;33,1;38,9;38,9;---;755,3;0;0;375;32,25;503;1,7;0,73;2,8;0;0,613;32,7;65;25,2;40,6;11,45;1,1113;0,28;1400;1;100;60
2020;1;1;1/01/2020;17:00:00;31,4;33,1;31,4;61;23;0,4;NW;1,61;2,2;NNE;31,4;35,8;35,8;---;755,6;0;0;185;15,91;311;0,2;0,09;0,8;0;0,544;32,3;64;24,6;39,2;11,25;1,1144;0,15;1401;1;100;60
