CORPOICA;CARIBIA;FONTAGRO;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/2021;12:00;AM;:;3;Month;;;;;;;;;;;;;;;;;;;;;;;;
;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;;
;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;Vantage Pro Plus;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;&;Time;Barometer - mm Hg;Temp - °C;High Temp - °C;Low Temp - °C;Hum - %;Dew Point - °C;Wet Bulb - °C;Wind Speed - m/s;Wind Direction;Wind Run - m;High Wind Speed - m/s;High Wind Direction;Wind Chill - °C;Heat Index - °C;THW Index - °C;THSW Index - °C;Rain - mm;Rain Rate - mm/h;Solar Rad - W/m^2;Solar Energy - Ly;High Solar Rad - W/m^2;ET - mm;UV Index;UV Dose - MEDs;High UV Index;Heating Degree Days;Cooling Degree Days
1/01/2021;12:00;AM;754,2;23,9;24,2;23,9;67;17,4;19,1;0;;0;0;;23,9;24,5;24,5;23,2;0;0;0;0;0;0,03;0;0;0;0;0,234
1/01/2021;1:00;AM;753,9;23,4;24;23,4;67;17;18,7;0;;0;0;;23,4;24;24;22,6;0;0;0;0;0;0,03;0;0;0;0;0,213
1/01/2021;2:00;AM;753,3;22,7;23,4;22,7;66;16;17,9;0;;0;0;;22,7;23,1;23,1;21,7;0;0;0;0;0;0,03;0;0;0;0;0,183
1/01/2021;3:00;AM;753,4;22,2;22,7;22,2;65;15,3;17,2;0;;0;0;;22,2;22,3;22,3;20,8;0;0;0;0;0;0,03;0;0;0;0;0,16
1/01/2021;4:00;AM;753,7;21,6;22,2;21,6;65;14,7;16,7;0;;0;0;;21,6;21,6;21,6;20,1;0;0;0;0;0;0,03;0;0;0;0;0,137
1/01/2021;5:00;AM;754;21,2;21,7;21,2;65;14,3;16,3;0;;0;0;;21,2;21,1;21,1;19,6;0;0;0;0;0;0,03;0;0;0;0;0,118
1/01/2021;6:00;AM;754,4;20,7;21,2;20,7;66;14,1;16,1;0;;0;0;;20,7;20,7;20,7;19,2;0;0;0;0;0;0,03;0;0;0;0;0,1
